score_read,score_math,gender,birth,lunch,ethnicity,class_type,school,degree,experience,t_ethnicity,school_id
474.0,602.0,male,1980 Q2,free,cauc,small,rural,master,6.0,cauc,72.0
403.0,434.0,male,1980 Q3,free,afam,small,rural,bachelor,1.0,cauc,57.0
455.0,520.0,male,1980 Q2,non-free,cauc,regular+aide,suburban,bachelor,5.0,afam,51.0
405.0,454.0,female,1979 Q4,free,cauc,regular+aide,rural,bachelor,11.0,cauc,6.0
433.0,473.0,female,1980 Q3,non-free,cauc,regular,rural,bachelor,2.0,cauc,76.0
437.0,506.0,female,1979 Q4,free,afam,regular+aide,inner-city,master,5.0,cauc,33.0
393.0,429.0,male,1980 Q3,free,cauc,regular+aide,rural,bachelor,2.0,cauc,71.0
445.0,506.0,female,1979 Q4,non-free,cauc,regular+aide,rural,bachelor,5.0,cauc,64.0
431.0,454.0,male,1980 Q3,non-free,cauc,regular,urban,bachelor,5.0,cauc,37.0
400.0,459.0,male,1980 Q3,free,cauc,regular,rural,master,5.0,cauc,47.0
431.0,559.0,male,1980 Q1,free,afam,regular,inner-city,bachelor,10.0,afam,30.0
400.0,434.0,female,1980 Q3,free,afam,regular,inner-city,bachelor,9.0,afam,18.0
422.0,489.0,female,1980 Q4,non-free,afam,small,inner-city,bachelor,21.0,afam,15.0
458.0,547.0,female,1980 Q1,non-free,cauc,regular,rural,bachelor,20.0,cauc,12.0
407.0,449.0,male,1980 Q3,free,afam,regular+aide,inner-city,bachelor,1.0,cauc,19.0
405.0,468.0,male,1980 Q1,free,afam,regular+aide,inner-city,bachelor,7.0,cauc,22.0
418.0,444.0,male,1980 Q2,non-free,cauc,regular+aide,suburban,bachelor,0.0,cauc,46.0
395.0,434.0,male,1979 Q3,free,afam,regular,inner-city,bachelor,6.0,afam,19.0
419.0,439.0,male,1980 Q2,free,cauc,regular,rural,bachelor,20.0,cauc,12.0
425.0,468.0,female,1980 Q2,free,cauc,small,rural,other,8.0,cauc,78.0
483.0,506.0,female,1980 Q2,non-free,cauc,small,rural,bachelor,4.0,cauc,13.0
418.0,494.0,male,1980 Q2,free,afam,small,inner-city,bachelor,2.0,afam,16.0
440.0,463.0,male,1980 Q3,non-free,cauc,small,rural,bachelor,8.0,cauc,5.0
465.0,489.0,female,1980 Q2,free,afam,regular+aide,inner-city,bachelor,20.0,afam,27.0
419.0,506.0,male,1979 Q3,free,afam,regular,rural,master,15.0,cauc,7.0
442.0,547.0,female,1980 Q1,free,afam,regular,suburban,master,24.0,cauc,44.0
434.0,494.0,female,1979 Q4,non-free,afam,regular,suburban,bachelor,1.0,cauc,23.0
451.0,506.0,female,1980 Q1,non-free,cauc,regular+aide,rural,master,6.0,cauc,69.0
425.0,484.0,male,1979 Q3,non-free,cauc,regular,urban,bachelor,5.0,cauc,37.0
421.0,459.0,female,1980 Q3,non-free,cauc,regular,rural,bachelor,16.0,cauc,69.0
447.0,547.0,female,1980 Q1,non-free,cauc,small,rural,other,8.0,cauc,78.0
467.0,489.0,male,1979 Q4,non-free,cauc,small,urban,master,7.0,cauc,9.0
440.0,494.0,female,1980 Q2,free,afam,regular+aide,inner-city,bachelor,10.0,afam,27.0
474.0,484.0,male,1979 Q4,non-free,cauc,regular+aide,rural,master,9.0,cauc,65.0
403.0,473.0,male,1979 Q4,non-free,cauc,regular+aide,rural,master,3.0,cauc,78.0
424.0,434.0,male,1979 Q4,non-free,afam,regular+aide,suburban,bachelor,0.0,cauc,44.0
427.0,463.0,female,1979 Q4,free,cauc,regular,rural,master,13.0,cauc,38.0
430.0,449.0,female,1980 Q3,free,afam,regular+aide,inner-city,bachelor,5.0,afam,28.0
405.0,429.0,female,1980 Q4,non-free,other,small,urban,master,12.0,cauc,2.0
437.0,473.0,male,1980 Q3,free,cauc,regular+aide,suburban,other,12.0,cauc,51.0
447.0,500.0,male,1980 Q3,non-free,afam,regular,rural,master,13.0,cauc,55.0
422.0,449.0,female,1979 Q4,free,cauc,regular,suburban,bachelor,11.0,cauc,51.0
465.0,459.0,male,1980 Q2,free,afam,regular+aide,inner-city,bachelor,20.0,afam,27.0
428.0,484.0,female,1979 Q4,non-free,cauc,regular,rural,master,12.0,cauc,65.0
427.0,459.0,male,1980 Q3,free,cauc,regular+aide,suburban,bachelor,7.0,cauc,54.0
460.0,547.0,male,1979 Q3,non-free,cauc,small,rural,master,4.0,cauc,63.0
485.0,576.0,female,1980 Q1,non-free,cauc,regular+aide,rural,master,10.0,cauc,72.0
437.0,489.0,female,1980 Q3,non-free,cauc,regular+aide,rural,bachelor,13.0,cauc,67.0
413.0,454.0,male,1980 Q3,free,cauc,regular,rural,master,12.0,cauc,72.0
445.0,484.0,female,1979 Q4,non-free,afam,regular+aide,suburban,master,15.0,afam,21.0
419.0,444.0,female,1980 Q3,free,cauc,small,rural,master,6.0,cauc,39.0
410.0,439.0,female,1979 Q4,free,cauc,regular,suburban,bachelor,8.0,cauc,4.0
425.0,494.0,female,1980 Q3,non-free,cauc,regular,rural,bachelor,16.0,cauc,62.0
405.0,434.0,male,1980 Q1,free,cauc,small,suburban,bachelor,12.0,afam,25.0
411.0,513.0,female,1980 Q1,free,cauc,regular+aide,rural,master,12.0,cauc,50.0
407.0,418.0,female,1979 Q3,free,afam,regular+aide,inner-city,bachelor,2.0,cauc,32.0
422.0,412.0,female,1980 Q3,free,afam,regular+aide,inner-city,bachelor,6.0,cauc,16.0
450.0,528.0,male,1980 Q2,non-free,cauc,small,suburban,master,7.0,cauc,61.0
445.0,478.0,male,1980 Q2,free,afam,regular+aide,inner-city,master,10.0,afam,28.0
419.0,500.0,female,1980 Q1,non-free,cauc,regular+aide,suburban,master,8.0,cauc,61.0
419.0,500.0,female,1980 Q3,free,cauc,regular+aide,inner-city,bachelor,9.0,cauc,53.0
413.0,478.0,male,1979 Q4,free,afam,regular+aide,suburban,bachelor,2.0,cauc,25.0
458.0,484.0,male,1979 Q3,non-free,cauc,regular+aide,rural,bachelor,9.0,cauc,49.0
397.0,423.0,male,1980 Q2,non-free,cauc,small,urban,bachelor,11.0,cauc,60.0
413.0,463.0,female,1980 Q2,free,cauc,regular+aide,rural,master,21.0,cauc,40.0
400.0,473.0,female,1980 Q2,non-free,afam,regular,suburban,bachelor,6.0,cauc,24.0
434.0,494.0,female,1980 Q3,free,cauc,regular+aide,suburban,master,15.0,afam,21.0
430.0,468.0,female,1980 Q1,free,afam,regular+aide,suburban,master,10.0,cauc,24.0
395.0,392.0,female,1980 Q3,free,afam,small,inner-city,bachelor,1.0,cauc,26.0
445.0,494.0,female,1980 Q3,free,afam,small,inner-city,bachelor,1.0,afam,16.0
485.0,536.0,male,1980 Q3,free,afam,regular+aide,inner-city,bachelor,20.0,afam,27.0
402.0,463.0,female,1980 Q2,free,cauc,regular+aide,rural,master,12.0,cauc,8.0
386.0,444.0,female,1980 Q3,free,cauc,regular,rural,bachelor,4.0,cauc,35.0
419.0,418.0,female,1980 Q3,non-free,cauc,regular,rural,master,13.0,cauc,8.0
408.0,478.0,female,1980 Q1,non-free,cauc,regular,rural,bachelor,2.0,cauc,57.0
476.0,520.0,female,1980 Q3,non-free,cauc,regular,rural,master,10.0,cauc,1.0
419.0,454.0,male,1979 Q4,free,afam,regular+aide,rural,bachelor,9.0,cauc,1.0
