score_read,score_math,gender,birth,lunch,ethnicity,class_type,school,degree,ladder,experience,t_ethnicity,schooldistrict_id,school_id
474.0,602.0,male,1980 Q2,free,cauc,small,rural,master,level1,6.0,cauc,36.0,72.0
403.0,434.0,male,1980 Q3,free,afam,small,rural,bachelor,apprentice,1.0,cauc,24.0,57.0
455.0,520.0,male,1980 Q2,non-free,cauc,regular+aide,suburban,bachelor,level1,5.0,afam,22.0,51.0
405.0,454.0,female,1979 Q4,free,cauc,regular+aide,rural,bachelor,level1,11.0,cauc,4.0,6.0
433.0,473.0,female,1980 Q3,non-free,cauc,regular,rural,bachelor,level1,2.0,cauc,40.0,76.0
437.0,506.0,female,1979 Q4,free,afam,regular+aide,inner-city,master,level1,5.0,cauc,11.0,33.0
393.0,429.0,male,1980 Q3,free,cauc,regular+aide,rural,bachelor,,2.0,cauc,36.0,71.0
,,male,1980 Q2,non-free,cauc,small,suburban,master,level1,12.0,cauc,22.0,54.0
445.0,506.0,female,1979 Q4,non-free,cauc,regular+aide,rural,bachelor,level1,5.0,cauc,31.0,64.0
431.0,454.0,male,1980 Q3,non-free,cauc,regular,urban,bachelor,level1,5.0,cauc,13.0,37.0
400.0,459.0,male,1980 Q3,free,cauc,regular,rural,master,level1,5.0,cauc,19.0,47.0
431.0,559.0,male,1980 Q1,free,afam,regular,inner-city,bachelor,level1,10.0,afam,11.0,30.0
400.0,434.0,female,1980 Q3,free,afam,regular,inner-city,bachelor,level1,9.0,afam,11.0,18.0
422.0,489.0,female,1980 Q4,non-free,afam,small,inner-city,bachelor,level1,21.0,afam,11.0,15.0
458.0,547.0,female,1980 Q1,non-free,cauc,regular,rural,bachelor,level1,20.0,cauc,9.0,12.0
407.0,449.0,male,1980 Q3,free,afam,regular+aide,inner-city,bachelor,apprentice,1.0,cauc,11.0,19.0
405.0,468.0,male,1980 Q1,free,afam,regular+aide,inner-city,bachelor,level1,7.0,cauc,11.0,22.0
418.0,444.0,male,1980 Q2,non-free,cauc,regular+aide,suburban,bachelor,probation,0.0,cauc,18.0,46.0
538.0,500.0,male,1979 Q4,non-free,cauc,small,inner-city,bachelor,level1,9.0,cauc,22.0,53.0
395.0,434.0,male,1979 Q3,free,afam,regular,inner-city,bachelor,level1,6.0,afam,11.0,19.0
419.0,439.0,male,1980 Q2,free,cauc,regular,rural,bachelor,level1,20.0,cauc,9.0,12.0
425.0,468.0,female,1980 Q2,free,cauc,small,rural,master+,level1,8.0,cauc,41.0,78.0
483.0,506.0,female,1980 Q2,non-free,cauc,small,rural,bachelor,level1,4.0,cauc,10.0,13.0
418.0,494.0,male,1980 Q2,free,afam,small,inner-city,bachelor,apprentice,2.0,afam,11.0,16.0
440.0,463.0,male,1980 Q3,non-free,cauc,small,rural,bachelor,level1,8.0,cauc,4.0,5.0
465.0,489.0,female,1980 Q2,free,afam,regular+aide,inner-city,bachelor,level1,20.0,afam,11.0,27.0
419.0,506.0,male,1979 Q3,free,afam,regular,rural,master,level1,15.0,cauc,5.0,7.0
442.0,547.0,female,1980 Q1,free,afam,regular,suburban,master,level1,24.0,cauc,18.0,44.0
434.0,494.0,female,1979 Q4,non-free,afam,regular,suburban,bachelor,apprentice,1.0,cauc,11.0,23.0
545.0,489.0,male,1979 Q3,non-free,cauc,regular,rural,bachelor,apprentice,3.0,afam,24.0,56.0
451.0,506.0,female,1980 Q1,non-free,cauc,regular+aide,rural,master,level1,6.0,cauc,35.0,69.0
,,male,1980 Q1,free,afam,regular+aide,urban,bachelor,probation,0.0,cauc,13.0,37.0
425.0,484.0,male,1979 Q3,non-free,cauc,regular,urban,bachelor,level1,5.0,cauc,13.0,37.0
421.0,459.0,female,1980 Q3,non-free,cauc,regular,rural,bachelor,level1,16.0,cauc,35.0,69.0
447.0,547.0,female,1980 Q1,non-free,cauc,small,rural,master+,level1,8.0,cauc,41.0,78.0
467.0,489.0,male,1979 Q4,non-free,cauc,small,urban,master,level1,7.0,cauc,6.0,9.0
440.0,494.0,female,1980 Q2,free,afam,regular+aide,inner-city,bachelor,level1,10.0,afam,11.0,27.0
474.0,484.0,male,1979 Q4,non-free,cauc,regular+aide,rural,master,level1,9.0,cauc,31.0,65.0
403.0,473.0,male,1979 Q4,non-free,cauc,regular+aide,rural,master,level1,3.0,cauc,41.0,78.0
424.0,434.0,male,1979 Q4,non-free,afam,regular+aide,suburban,bachelor,,0.0,cauc,18.0,44.0
427.0,463.0,female,1979 Q4,free,cauc,regular,rural,master,level1,13.0,cauc,14.0,38.0
430.0,449.0,female,1980 Q3,free,afam,regular+aide,inner-city,bachelor,level1,5.0,afam,11.0,28.0
405.0,429.0,female,1980 Q4,non-free,asian,small,urban,master,level1,12.0,cauc,2.0,2.0
437.0,473.0,male,1980 Q3,free,cauc,regular+aide,suburban,master+,level1,12.0,cauc,22.0,51.0
447.0,500.0,male,1980 Q3,non-free,afam,regular,rural,master,level1,13.0,cauc,23.0,55.0
,,male,1979 Q3,non-free,cauc,regular,suburban,bachelor,probation,14.0,cauc,18.0,42.0
422.0,449.0,female,1979 Q4,free,cauc,regular,suburban,bachelor,level1,11.0,cauc,22.0,51.0
465.0,459.0,male,1980 Q2,free,afam,regular+aide,inner-city,bachelor,level1,20.0,afam,11.0,27.0
428.0,484.0,female,1979 Q4,non-free,cauc,regular,rural,master,level1,12.0,cauc,31.0,65.0
427.0,459.0,male,1980 Q3,free,cauc,regular+aide,suburban,bachelor,level1,7.0,cauc,22.0,54.0
460.0,547.0,male,1979 Q3,non-free,cauc,small,rural,master,level1,4.0,cauc,30.0,63.0
485.0,576.0,female,1980 Q1,non-free,cauc,regular+aide,rural,master,level1,10.0,cauc,36.0,72.0
437.0,489.0,female,1980 Q3,non-free,cauc,regular+aide,rural,bachelor,level1,13.0,cauc,33.0,67.0
413.0,454.0,male,1980 Q3,free,cauc,regular,rural,master,level1,12.0,cauc,36.0,72.0
445.0,484.0,female,1979 Q4,non-free,afam,regular+aide,suburban,master,level1,15.0,afam,11.0,21.0
419.0,444.0,female,1980 Q3,free,cauc,small,rural,master,level1,6.0,cauc,15.0,39.0
410.0,439.0,female,1979 Q4,free,cauc,regular,suburban,bachelor,level1,8.0,cauc,4.0,4.0
425.0,494.0,female,1980 Q3,non-free,cauc,regular,rural,bachelor,level1,16.0,cauc,29.0,62.0
405.0,434.0,male,1980 Q1,free,cauc,small,suburban,bachelor,level1,12.0,afam,11.0,25.0
411.0,513.0,female,1980 Q1,free,cauc,regular+aide,rural,master,level1,12.0,cauc,21.0,50.0
407.0,418.0,female,1979 Q3,free,afam,regular+aide,inner-city,bachelor,,2.0,cauc,11.0,32.0
422.0,412.0,female,1980 Q3,free,afam,regular+aide,inner-city,bachelor,level1,6.0,cauc,11.0,16.0
450.0,528.0,male,1980 Q2,non-free,cauc,small,suburban,master,level1,7.0,cauc,28.0,61.0
445.0,478.0,male,1980 Q2,free,afam,regular+aide,inner-city,master,level1,10.0,afam,11.0,28.0
545.0,626.0,female,1980 Q1,non-free,cauc,regular,suburban,master,level3,15.0,cauc,17.0,41.0
419.0,500.0,female,1980 Q1,non-free,cauc,regular+aide,suburban,master,level1,8.0,cauc,28.0,61.0
,,male,1980 Q2,free,afam,regular+aide,inner-city,bachelor,apprentice,1.0,cauc,11.0,19.0
,,male,1979 Q3,free,cauc,small,urban,bachelor,level1,11.0,cauc,27.0,60.0
419.0,500.0,female,1980 Q3,free,cauc,regular+aide,inner-city,bachelor,level1,9.0,cauc,22.0,53.0
,,female,1979 Q4,non-free,cauc,regular+aide,suburban,master,level1,15.0,afam,11.0,21.0
413.0,478.0,male,1979 Q4,free,afam,regular+aide,suburban,bachelor,,2.0,cauc,11.0,25.0
458.0,484.0,male,1979 Q3,non-free,cauc,regular+aide,rural,bachelor,level1,9.0,cauc,21.0,49.0
397.0,423.0,male,1980 Q2,non-free,cauc,small,urban,bachelor,level1,11.0,cauc,27.0,60.0
,,male,1980 Q1,non-free,cauc,regular,rural,bachelor,level1,16.0,cauc,29.0,62.0
448.0,547.0,female,1980 Q2,free,cauc,small,rural,bachelor,level1,27.0,cauc,16.0,40.0
413.0,463.0,female,1980 Q2,free,cauc,regular+aide,rural,master,level1,21.0,cauc,16.0,40.0
,,female,1980 Q3,free,cauc,regular,inner-city,master,probation,3.0,afam,22.0,53.0
400.0,473.0,female,1980 Q2,non-free,afam,regular,suburban,bachelor,level1,6.0,cauc,11.0,24.0
434.0,494.0,female,1980 Q3,free,cauc,regular+aide,suburban,master,level1,15.0,afam,11.0,21.0
430.0,468.0,female,1980 Q1,free,afam,regular+aide,suburban,master,level1,10.0,cauc,11.0,24.0
395.0,392.0,female,1980 Q3,free,afam,small,inner-city,bachelor,apprentice,1.0,cauc,11.0,26.0
445.0,494.0,female,1980 Q3,free,afam,small,inner-city,bachelor,apprentice,1.0,afam,11.0,16.0
485.0,536.0,male,1980 Q3,free,afam,regular+aide,inner-city,bachelor,level1,20.0,afam,11.0,27.0
402.0,463.0,female,1980 Q2,free,cauc,regular+aide,rural,master,level1,12.0,cauc,6.0,8.0
386.0,444.0,female,1980 Q3,free,cauc,regular,rural,bachelor,,4.0,cauc,12.0,35.0
419.0,418.0,female,1980 Q3,non-free,cauc,regular,rural,master,level1,13.0,cauc,6.0,8.0
408.0,478.0,female,1980 Q1,non-free,cauc,regular,rural,bachelor,apprentice,2.0,cauc,24.0,57.0
476.0,520.0,female,1980 Q3,non-free,cauc,regular,rural,master,level1,10.0,cauc,1.0,1.0
,,male,1980 Q1,free,afam,regular+aide,inner-city,master,apprentice,24.0,cauc,11.0,30.0
419.0,454.0,male,1979 Q4,free,afam,regular+aide,rural,bachelor,,9.0,cauc,1.0,1.0
,547.0,male,1979 Q2,non-free,cauc,regular+aide,rural,bachelor,level1,13.0,cauc,33.0,67.0
445.0,478.0,female,1980 Q2,non-free,cauc,regular,rural,bachelor,apprentice,1.0,cauc,40.0,76.0
413.0,444.0,male,1979 Q3,free,cauc,small,rural,master,level1,6.0,cauc,29.0,62.0
425.0,478.0,male,1980 Q2,non-free,cauc,small,rural,bachelor,level1,12.0,cauc,41.0,79.0
447.0,547.0,male,1980 Q3,free,afam,small,inner-city,bachelor,level1,11.0,cauc,11.0,27.0
460.0,528.0,male,1980 Q1,non-free,cauc,regular+aide,rural,master,level1,12.0,cauc,41.0,79.0
424.0,494.0,male,1980 Q1,non-free,cauc,small,rural,bachelor,level1,6.0,cauc,36.0,71.0
382.0,384.0,male,1980 Q2,non-free,cauc,regular,rural,master,level1,13.0,cauc,24.0,56.0
463.0,559.0,male,1980 Q2,free,cauc,regular,rural,bachelor,level1,19.0,cauc,37.0,73.0
451.0,528.0,male,1980 Q1,non-free,cauc,regular+aide,suburban,master,level1,8.0,cauc,28.0,61.0
503.0,513.0,female,1980 Q3,non-free,afam,regular,inner-city,bachelor,,9.0,afam,11.0,28.0
416.0,473.0,female,1979 Q4,free,cauc,regular,rural,bachelor,level1,10.0,cauc,35.0,70.0
468.0,473.0,female,1979 Q4,non-free,cauc,regular+aide,rural,master,level1,21.0,cauc,16.0,40.0
456.0,478.0,male,1980 Q1,free,afam,regular+aide,inner-city,bachelor,level1,3.0,afam,11.0,15.0
461.0,536.0,female,1980 Q3,non-free,cauc,regular+aide,rural,master,level1,7.0,cauc,30.0,63.0
437.0,478.0,female,1980 Q3,non-free,cauc,regular+aide,suburban,master,level1,8.0,cauc,28.0,61.0
422.0,449.0,female,1980 Q2,non-free,afam,regular,rural,bachelor,level1,11.0,cauc,31.0,64.0
503.0,513.0,male,1979 Q4,non-free,cauc,small,rural,bachelor,level1,7.0,cauc,30.0,63.0
428.0,489.0,female,1980 Q3,non-free,cauc,regular+aide,rural,bachelor,level1,8.0,cauc,4.0,5.0
433.0,449.0,male,1980 Q1,non-free,cauc,small,suburban,master,probation,8.0,cauc,17.0,41.0
418.0,429.0,male,1979 Q4,non-free,cauc,regular+aide,rural,bachelor,level1,7.0,cauc,24.0,56.0
421.0,454.0,female,1980 Q2,free,cauc,regular+aide,rural,master,level1,21.0,cauc,16.0,40.0
408.0,478.0,female,1979 Q1,free,cauc,small,rural,bachelor,apprentice,3.0,cauc,24.0,56.0
448.0,536.0,male,1980 Q1,non-free,cauc,small,rural,bachelor,level1,6.0,cauc,34.0,68.0
,,female,1980 Q1,non-free,cauc,regular,rural,master,level1,13.0,cauc,21.0,50.0
416.0,459.0,male,1980 Q1,non-free,cauc,regular+aide,suburban,bachelor,level1,7.0,cauc,4.0,4.0
445.0,506.0,female,1980 Q2,non-free,cauc,regular,urban,bachelor,probation,0.0,cauc,26.0,59.0
436.0,513.0,female,1980 Q1,non-free,cauc,regular+aide,rural,master,level1,11.0,cauc,39.0,75.0
,,male,1979 Q3,free,afam,regular,rural,bachelor,level1,13.0,cauc,38.0,74.0
390.0,434.0,female,1980 Q3,free,cauc,regular,rural,master,level1,12.0,cauc,6.0,8.0
398.0,449.0,female,1980 Q1,free,afam,regular+aide,inner-city,bachelor,,2.0,cauc,11.0,32.0
